Cdca7,Ly6k,Akap3,,,,Bcap31
Galnt12,Lactb,Il4i1,,,,Mospd1
Gsr,Iqcb1,Lyzl4,,,,Efhc2
Cdc42se2,Hspa2,Akap14,,,,Ssr4
Ccnd1,Hormad1,Ak8,,,,Pnck
Ccna2,Hnrnpa0,Ak2,,,,Idh3g
Cbx2,H2afx,Ak1,,,,Srpk3
Bex2,Gml2,Adam6b,,,,Pdzd4
Bex1,Gml,Adam6a,,,,Gria3
Bax,Gm26782,Adam4,,,,Emd
Bahcc1,Glipr1l2,Adam39,,,,Fam50a
Hist1h2ap,Fbxo3,Morn5,,,,Maged1
Auts2,Dnajc3,Adam34,,,,Uba1
Atp2b1,Dmc1,Adam30,,,,Ocrl
Atic,Ddx39,Adam3,,,,Uxt
Atad5,Cwc27,Adam29,,,,Timp1
Asphd2,Commd4,Adam26b,,,,Cfp
Ascl2,Cks2,Adam26a,,,,Araf
Ammecr1,Churc1,Adam25,,,,Dlg3
Aldoc,Cers3,Adam24,,,,Fmr1
Aim1l,Cers2,Adam21,,,,Ddx3x
Aifm3,Cenpq,Adam20,,,,Egfl6
Aifm1,Ccp110,Adam1b,,,,Mcts1
Acvr2b,Ccnb1ip1,Actl9,,,,Mid2
A830080D01Rik,Ccdc61,Actl7a,,,,Drp2
9130401M01Rik,Bod1l,Acrbp,,,,Tfe3
Gm26785,B630005N14Rik,Kif9,,,,Esx1
8030474K03Rik,B3galnt1,Ace,,,,Zfy2
3010003L21Rik,Atr,Abhd2,,,,Scml2
Hmgb3,4930579G24Rik,Nme5,,,,Tbl1x
Hmox1,1700040D17Rik,Nme8,,,,Ribc1
Homer2,,Oaz3,,,,Hsd17b10
Hprt,,Odf2,,,,Huwe1
Hsd17b10,,Odf4,,,,Fam120c
Igfbp2,,Pacrg,,,,Tsr2
Irf2bpl,,Pafah1b1,,,,Fgd1
Kif26a,,Pde1a,,,,Gnl3l
Klf11,,Pfkm,,,,Maged2
Klf7,,Pfn4,,,,Apex2
Kmt2a,,Pgk2,,,,Alas2
Ldb1,,Plcz1,,,,Pfkfb1
Lin28a,,Pln,,,,Tro
Lman1,,Pmfbp1,,,,Sat1
Lmo1,,Ppp1r42,,,,Acot9
Lonrf3,,Ppp3cc,,,,4933436I01Rik
Lrr1,,Ppp3r2,,,,Prdx4
Mafg,,Prkaca,,,,Kdm5c
Map7d2,,Prkar1a,,,,Gpr143
Mbnl3,,Rabl2,,,,Apool
Mcm2,,Ran,,,,Satl1
Mcm3,,Rnf38,,,,Zfp711
Mex3a,,Ropn1,,,,Chm
Mfge8,,Rsph6a,,,,Dach2
Mmd,,Rsph9,,,,Klhl4
Myh6,,Saxo1,,,,Phf6
Myo1b,,Saxo2,,,,Hprt
Nanos1,,Sec23ip,,,,Arhgef9
Ndrg4,,Slc22a14,,,,Cnksr2
Nme4,,Slc26a8,,,,Rps6ka6
Noc2l,,Slc9b1,,,,Tmem47
Nr2f6,,Slirp,,,,Prps2
Nt5dc2,,Sox30,,,,Xiap
Nudt17,,Spa17,,,,Stag2
Ostf1,,Spaca1,,,,Atp6ap2
P3h3,,Spaca3,,,,Usp9x
Patz1,,Spaca5,,,,Cask
Polr2h,,Spag16,,,,Ndufb11
Pop1,,Spag17,,,,Rbm10
Ppdpf,,Spag6,,,,Cdk16
Ppp1ca,,Spag6l,,,,Usp11
Pprc1,,Spata18,,,,Zfp300
Pramef12,,Spata19,,,,Slc6a14
Prr5,,Spata33,,,,Dock11
Prtg,,Spata6,,,,Cul4b
Psme1,,Spatc1l,,,,Smarca1
