"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SC_Ythdc2_iKO_1","SC_Ythdc2_iKO_2","SC_Ythdc2_iKO_3","SC_Ythdc2_HT_1","SC_Ythdc2_HT_2","SC_Ythdc2_HT_3","mgi_symbol","entrezgene_id","chromosome_name"
"ENSMUSG00000000154",65.3107236319061,0.134632308234194,0.279804492333548,0.481165642164539,0.630398777638117,0.838065439226307,73.6560666093903,56.5658327080409,73.4202332292732,76.4087360042936,49.5140286131857,62.2994446272527,"Slc22a18",18400,"7"
"ENSMUSG00000000167",214.256702830491,-0.652622798626407,0.199972076837374,-3.2635696390609,0.00110018142679012,0.0115490552757125,156.314541359928,162.771069629261,180.574087131456,278.667154839189,228.314687494134,278.89867652898,"Pih1d2",72614,"9"
"ENSMUSG00000000168",17.0161120411821,-0.0673937205543298,0.479761087073949,-0.140473503104144,0.888285886350898,0.95796500327646,13.0944118416694,24.2424997320175,12.8981490808183,14.9821050988811,23.8400878507931,13.0394186429134,"Dlat",235339,"9"
"ENSMUSG00000000171",9.45565006743833,0.13806212658014,0.639374703492098,0.215933044936062,0.829039938539754,0.933462722727764,14.7312133218781,11.5440474914369,2.97649594172729,11.9856840791049,8.25233810219761,7.2441214682852,"Sdhd",66925,"9"
"ENSMUSG00000000194",131.76768480681,0.201047078781964,0.234227733259628,0.858340197311795,0.390704639218238,0.675497354736085,111.30250065419,162.771069629261,148.824797086365,127.347893340489,133.871262546761,106.488585583792,"Gpr107",277463,"2"
"ENSMUSG00000000247",34.2773865092487,0.0346084849912189,0.350574809268843,0.0987192578479846,0.921361178002674,0.971587089480321,42.5568384854255,26.5513092303049,33.7336206729093,40.451683766979,34.8432053203899,27.5276615794838,"Lhx2",16870,"2"
"ENSMUSG00000000276",10.4295419552261,-0.467875060413383,0.57173031171009,-0.818349230101045,0.413157802836061,0.693651807900118,7.36560666093903,8.08083324400584,10.9138184530001,10.4874735692168,15.5877497485955,10.1417700555993,"Dgke",56077,"11"
"ENSMUSG00000000278",32.1107141794075,-0.0126163226213417,0.359950518103196,-0.0350501582490421,0.972039744922146,0.989692923717036,25.3704229432344,40.4041662200292,29.7649594172729,38.9534732570909,32.0924259529907,26.0788372858267,"Scpep1",74617,"11"
"ENSMUSG00000000282",17.9900458546002,-0.572659144055712,0.453518259518625,-1.26270361123617,0.206695715751959,0.480804951956202,18.0048162822954,13.8528569897243,11.9059837669092,14.9821050988811,23.8400878507931,25.3544251389982,"Mnt",17428,"11"
"ENSMUSG00000000320",30.0357460624796,1.60592817899663,0.404565453034031,3.96951387458569,7.20194133878143e-05,0.00136452105667582,45.0120407057385,62.3378564537594,28.7727941033638,13.483894588993,14.6708232927958,15.9370672302274,"Alox12",11684,"11"
"ENSMUSG00000000339",13.2810670087644,-0.763056456134923,0.547955783892572,-1.39255114840529,0.16375556431772,0.421658582628904,9.82080888125204,11.5440474914369,8.92948782518188,5.99284203955244,23.8400878507931,19.55912796437,"Rtca",66368,"3"
"ENSMUSG00000000346",36.3896582578101,-0.167078558861732,0.344811301366343,-0.484550704108795,0.627995089025611,0.836572554760706,37.6464340447995,35.7865472234544,29.7649594172729,37.4552627472028,28.4247201297918,49.2600259843394,"Dazap2",23994,"15"
"ENSMUSG00000000365",96.5467906604223,-0.598297856609853,0.23421266099095,-2.55450689163627,0.0106338324630908,0.0661377936448463,75.292868089599,71.5730944469089,83.3418863683642,118.358630281161,115.532733430767,115.181531345735,"Rnf17",30054,"14"
"ENSMUSG00000000374",38.2148610013848,0.0920462408576609,0.32083912430584,0.286892195759511,0.774194866307928,0.906358306231462,40.1016362651125,40.4041662200292,37.7022819285457,38.9534732570909,33.0093524087904,39.1182559287401,"Trappc10",216131,"10"
