"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SC_Ythdc2_iKO_1","SC_Ythdc2_iKO_2","SC_Ythdc2_iKO_3","SC_Ythdc2_HT_1","SC_Ythdc2_HT_2","SC_Ythdc2_HT_3","mgi_symbol","entrezgene_id","chromosome_name"
"ENSMUSG00000000167",214.256702830491,-0.652622798626407,0.199972076837374,-3.2635696390609,0.00110018142679012,0.0115490552757125,156.314541359928,162.771069629261,180.574087131456,278.667154839189,228.314687494134,278.89867652898,"Pih1d2",72614,"9"
"ENSMUSG00000000794",12.7404041547858,-2.73363378489794,0.646492454582311,-4.22840787316551,2.35350848795553e-05,0.000562237183054697,2.45520222031301,6.92642849486215,0.992165313909098,23.9713681582098,21.0893084833939,21.0079522580271,"Kcnn3",140493,"3"
"ENSMUSG00000001157",314.542054682382,-0.961947904000533,0.184408682091895,-5.21639162043993,1.82442241985174e-07,9.80168953337817e-06,202.144982805771,238.961783072744,199.425228095729,428.488205828,422.703096123678,395.529032168372,"Gmcl1",23885,"6"
"ENSMUSG00000001175",73.0678145814474,-0.7770040928886,0.273952472809933,-2.83627333208152,0.00456433646514859,0.0350530783587535,55.6512503270949,65.8010707011904,40.678777870273,83.8997885537342,105.446542416969,86.9294576194224,"Calm1",12313,"12"
"ENSMUSG00000001280",90.5589098134428,-1.21264608974599,0.247423692130491,-4.90109123869367,9.53057783388569e-07,4.04326548587226e-05,58.1064525474079,55.4114279588972,50.600431009364,112.365788241608,139.37282128156,127.49653784182,"Sp1",20683,"15"
"ENSMUSG00000001844",156.262017377042,-0.895267394767766,0.207816090068611,-4.30797920638479,1.64752869262946e-05,0.000416212433376185,101.481691772938,107.359641670363,119.059837669092,206.753050364559,200.806893820142,202.110988965157,"Zdhhc4",72881,"5"
"ENSMUSG00000002396",147.366255153937,-0.76634498360407,0.230214467533585,-3.32883068477124,0.000872114049357045,0.00966632355787362,100.663291032833,96.9699989280701,130.965821436001,152.817472008587,189.803776350545,212.977171167585,"Ocel1",77090,"8"
"ENSMUSG00000002635",31.9669415138433,-1.16933000975919,0.358324302245021,-3.26332878465945,0.00110111695020814,0.0115490552757125,18.8232170223997,16.1616664880117,23.8119675338183,46.4445258065314,43.0955434225875,43.4647288097112,"Pdcd2l",68079,"7"
"ENSMUSG00000002732",44.9487356667332,-1.00245816164327,0.344099845725276,-2.9132769865977,0.00357657202224988,0.0291987827403718,45.0120407057385,23.0880949828738,20.8354715920911,56.9319993757482,68.7694841849801,55.0553231589675,"Fkbp7",14231,"2"
"ENSMUSG00000003153",453.317841675829,-0.97657687605282,0.182793244037703,-5.34252171733104,9.16623854713467e-08,5.37010632597133e-06,264.343439053701,339.394996248245,313.524239195275,632.244835172783,547.405094112441,622.994446272528,"Slc2a3",20527,"6"
"ENSMUSG00000003190",152.476056017655,-1.24901069285411,0.235347726756426,-5.30708628491144,1.11391456608792e-07,6.40396771335497e-06,81.8400740104337,96.9699989280701,92.2713741935461,212.745892404112,262.240966358724,168.788030211045,"Bcl2l12",75736,"7"
"ENSMUSG00000003344",72.1676095210523,-1.20979686330402,0.264246497806481,-4.57828911015503,4.68794468388281e-06,0.00014813737851766,45.8304414458428,36.9409519725981,47.6239350676367,98.8818936526153,100.861910137971,102.86652484965,"Btbd2",208198,"10"
"ENSMUSG00000004032",139.455056403397,-0.810574471263534,0.216258022048135,-3.74818221116955,0.000178120837754328,0.00278806700622328,102.300092513042,107.359641670363,94.2557048213643,173.792419147021,195.305335085343,163.717145183246,"Gstm5",14866,"3"
"ENSMUSG00000004043",114.149392764808,-1.16073355942598,0.261642715724412,-4.43633049829899,9.15053247017939e-06,0.000257617851214227,66.2904599484513,51.9482137114661,93.2635395074552,142.32999843937,189.803776350545,141.260368631561,"Stat5a",20850,"11"
"ENSMUSG00000004285",271.038708759796,-0.632666417974378,0.216865175925029,-2.91732600808667,0.00353046557088728,0.0288798656373844,274.982648675057,174.315117120697,186.52707901491,352.079469823706,300.751877502313,337.57606042209,"Atp6v1f",66144,"6"
"ENSMUSG00000004637",467.365653880654,-1.78655556271717,0.18942171533489,-9.43163015686249,4.03764286992857e-21,8.27918670478852e-18,211.147390946919,213.564878591583,205.378219979183,705.6571501573,849.073898070554,619.372385538385,"Wwox",80707,"8"
"ENSMUSG00000005481",459.462744242403,-0.643254387148043,0.19004518329457,-3.38474449074039,0.000712445391091567,0.00826970990351604,298.716270138083,371.718329224269,406.78777870273,527.370099480615,626.260769311219,525.923218597506,"Ddx39a",68278,"8"
"ENSMUSG00000005705",51.7320474035825,-1.01755330902932,0.341494909386088,-2.979702716092,0.00288528249045001,0.0245828465928023,18.8232170223997,45.021785216604,39.6866125563639,74.9105254944055,52.2648079805849,79.6853361511372,"Agrp",11604,"8"
"ENSMUSG00000006307",216.873569168494,-0.87070575939168,0.237155078276797,-3.671461584202,0.00024116733216248,0.0035364501639988,106.392096213564,159.307855381829,195.456566840092,262.186839230419,320.007333074107,257.890724270953,"Kmt2b",75410,"7"
"ENSMUSG00000006310",1042.47488813878,-1.12990991798984,0.173527661738447,-6.51141095702032,7.44481553529628e-11,1.11699470159451e-08,576.972521773557,614.143326544444,770.912448907369,1432.28924745303,1441.40838851718,1419.12339563707,"Zbtb32",58206,"7"
"ENSMUSG00000006398",81.4218059103387,-0.680551082772119,0.249039475472357,-2.73270364660585,0.00628168247569262,0.0442885613171612,68.7456621687643,60.029046955472,58.5377535206368,103.37652518228,93.5264984915729,104.315349143307,"Cdc20",107995,"4"
"ENSMUSG00000006464",121.363134064557,-0.720519257953115,0.246630666864995,-2.92145039022064,0.00348405757579187,0.0285911422534563,76.1112688297033,86.5803561857769,112.114680471728,155.813893028363,175.132953057749,122.42565281402,"Bbs1",52028,"19"
"ENSMUSG00000006651",10.3550420341331,-2.61563102668812,0.688313943425607,-3.80005526790671,0.000144663820647804,0.00238259569669336,2.45520222031301,1.15440474914369,4.96082656954549,19.4767366285454,17.421602660195,16.661479377056,"Aplp1",11803,"7"
"ENSMUSG00000006906",187.991950718157,-0.966590464604285,0.257248552049696,-3.75741848458512,0.000171675263712333,0.00270263554057743,76.1112688297033,153.535831636111,153.78562365591,230.724418522769,276.91178965152,236.882772012926,"Stambp",70527,"6"
"ENSMUSG00000007837",104.408149403627,-0.796459513890603,0.255260455113534,-3.12018371014952,0.00180738281111394,0.0168584008530211,99.844890292729,64.6466659520467,63.4985800901822,125.849682830601,149.459012295357,123.150064960848,"Prrg2",65116,"7"
"ENSMUSG00000007950",107.731407500453,-0.747228173685934,0.238885396950977,-3.12797761279345,0.00176013587424102,0.0165012639111242,64.6536584682426,86.5803561857769,91.279208879637,124.351472320713,137.53896836996,141.98478077839,"Abhd8",64296,"8"
"ENSMUSG00000010021",42.3652491962286,-0.969966054547196,0.343546183591043,-2.82339347917729,0.00475182132853079,0.0358967711762496,36.8280333046951,25.3969044811612,22.8198022199092,67.419472944965,39.4278375993886,62.2994446272527,"Kif19a",286942,"11"
"ENSMUSG00000010044",289.010531049544,-0.775644437617792,0.240423462904258,-3.22615949478554,0.00125463420016055,0.0127885373360193,168.590552461493,222.800116584732,249.033493791184,313.125996566615,491.472580308658,289.04044658458,"Zmynd10",114602,"9"
"ENSMUSG00000010086",63.6248967810133,-0.789012866780467,0.279410160162835,-2.82385173939504,0.00474503287219246,0.0358934042008595,55.6512503270949,40.4041662200292,42.6631084980912,92.8890516130628,73.3541164639788,76.7876875638232,"Rnf112",22671,"11"
"ENSMUSG00000011658",64.1609255876303,-1.43550405252948,0.292454839332318,-4.90846400697889,9.17924711269122e-07,3.90769125354464e-05,37.6464340447995,32.3233329760234,32.7414553590002,118.358630281161,87.1080133009748,76.7876875638232,"Fuz",70300,"7"
"ENSMUSG00000013353",265.804478596159,-0.641961567625254,0.218701387553452,-2.93533376631345,0.00333189084347798,0.0276867171882849,193.960975404728,247.04261631675,181.566252445365,380.54546951158,251.237848889127,340.473709009405,"4931406B18Rik",74054,"7"
"ENSMUSG00000013833",224.992135398971,-0.895650633666426,0.192980340697299,-4.64114961363503,3.46476138073869e-06,0.000118408220186745,159.588144320346,155.844641134398,155.769954283728,317.620628096279,267.742525093522,293.386919465551,"Med16",216154,"10"
"ENSMUSG00000014748",204.18682391067,-0.645899075915968,0.214439841035338,-3.01202926096895,0.00259507581481322,0.0226434168437213,167.772151721389,150.07261738868,158.746450225456,284.659996878741,194.388408629544,269.48131862021,"Tex261",21766,"6"
