"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SC_Ythdc2_iKO_1","SC_Ythdc2_iKO_2","SC_Ythdc2_iKO_3","SC_Ythdc2_HT_1","SC_Ythdc2_HT_2","SC_Ythdc2_HT_3","mgi_symbol","entrezgene_id","chromosome_name"
"ENSMUSG00000000794",12.7404041547858,-2.73363378489794,0.646492454582311,-4.22840787316551,2.35350848795553e-05,0.000562237183054697,2.45520222031301,6.92642849486215,0.992165313909098,23.9713681582098,21.0893084833939,21.0079522580271,"Kcnn3",140493,"3"
"ENSMUSG00000001280",90.5589098134428,-1.21264608974599,0.247423692130491,-4.90109123869367,9.53057783388569e-07,4.04326548587226e-05,58.1064525474079,55.4114279588972,50.600431009364,112.365788241608,139.37282128156,127.49653784182,"Sp1",20683,"15"
"ENSMUSG00000002635",31.9669415138433,-1.16933000975919,0.358324302245021,-3.26332878465945,0.00110111695020814,0.0115490552757125,18.8232170223997,16.1616664880117,23.8119675338183,46.4445258065314,43.0955434225875,43.4647288097112,"Pdcd2l",68079,"7"
"ENSMUSG00000002732",44.9487356667332,-1.00245816164327,0.344099845725276,-2.9132769865977,0.00357657202224988,0.0291987827403718,45.0120407057385,23.0880949828738,20.8354715920911,56.9319993757482,68.7694841849801,55.0553231589675,"Fkbp7",14231,"2"
"ENSMUSG00000003190",152.476056017655,-1.24901069285411,0.235347726756426,-5.30708628491144,1.11391456608792e-07,6.40396771335497e-06,81.8400740104337,96.9699989280701,92.2713741935461,212.745892404112,262.240966358724,168.788030211045,"Bcl2l12",75736,"7"
"ENSMUSG00000003344",72.1676095210523,-1.20979686330402,0.264246497806481,-4.57828911015503,4.68794468388281e-06,0.00014813737851766,45.8304414458428,36.9409519725981,47.6239350676367,98.8818936526153,100.861910137971,102.86652484965,"Btbd2",208198,"10"
"ENSMUSG00000004043",114.149392764808,-1.16073355942598,0.261642715724412,-4.43633049829899,9.15053247017939e-06,0.000257617851214227,66.2904599484513,51.9482137114661,93.2635395074552,142.32999843937,189.803776350545,141.260368631561,"Stat5a",20850,"11"
"ENSMUSG00000004637",467.365653880654,-1.78655556271717,0.18942171533489,-9.43163015686249,4.03764286992857e-21,8.27918670478852e-18,211.147390946919,213.564878591583,205.378219979183,705.6571501573,849.073898070554,619.372385538385,"Wwox",80707,"8"
"ENSMUSG00000005705",51.7320474035825,-1.01755330902932,0.341494909386088,-2.979702716092,0.00288528249045001,0.0245828465928023,18.8232170223997,45.021785216604,39.6866125563639,74.9105254944055,52.2648079805849,79.6853361511372,"Agrp",11604,"8"
"ENSMUSG00000006310",1042.47488813878,-1.12990991798984,0.173527661738447,-6.51141095702032,7.44481553529628e-11,1.11699470159451e-08,576.972521773557,614.143326544444,770.912448907369,1432.28924745303,1441.40838851718,1419.12339563707,"Zbtb32",58206,"7"
